,user_id,login_day,login_diff_time,distance_day,login_time,launch_time,camp_num,learn_num,finish_num,study_num,coupon,course_order_num,subscribe_num
0,1555945280,7,6.86,131,1,1,0,0,0,0,0,4,1
1,1556645228,4,1.0,81,3,1,2,1,0,0,0,0,2
2,1558047804,1,0.0,179,3,0,2,0,0,0,0,0,1
3,1558146467,6,1.0,32,24,3,1,5,5,0,0,1,0
4,1558146878,4,1.75,361,39,0,2,0,0,1,0,0,1
5,1558147371,4,1.25,46,68,2,2,1,1,1,0,0,1
6,1559045233,1,0.0,182,8,0,1,0,0,0,0,0,0
7,1559245920,4,1.5,36,38,0,1,0,0,0,0,0,0
8,1559246037,4,1.75,368,6,1,1,1,1,0,0,0,0
9,1559247825,4,1.75,22,31,0,2,6,6,0,0,0,0
10,1559346813,2,0.5,81,7,1,4,0,0,0,0,0,1
11,1559347057,1,0.0,140,1,0,1,0,1,0,0,0,0
12,1559350860,2,0.5,159,2,1,2,0,0,0,0,0,2
13,1560745486,2,2.5,70,4,0,2,0,0,0,0,0,0
14,1560746099,5,1.4,377,31,0,2,4,4,1,0,0,0
15,1560845807,6,0.83,366,44,1,2,7,5,1,0,0,1
16,1560848190,2,1.0,128,0,1,2,0,0,0,0,0,0
17,1560946961,1,0.0,22,2,0,1,0,0,1,0,0,0
18,1560948645,4,1.0,61,48,0,1,3,4,0,0,0,1
19,1561045347,1,0.0,86,1,0,2,0,0,0,0,0,0
20,1561546188,3,2.33,379,41,0,1,2,1,0,0,0,1
21,1561550226,2,1.5,102,4,1,1,0,0,0,0,0,0
22,1561647887,3,0.67,56,6,0,2,1,0,0,0,0,0
23,1562345599,1,0.0,156,2,0,2,0,0,0,0,0,0
24,1563149780,5,1.2,366,121,1,2,9,7,1,0,0,1
25,1563151338,5,1.4,32,16,1,1,3,3,1,3,1,2
26,1563151533,5,12.0,117,1,1,5,0,0,0,0,0,2
27,1563151825,8,0.88,367,78,1,4,15,13,1,1,0,2
28,1563157455,2,0.5,164,38,0,1,1,0,0,0,0,1
29,1563159823,3,1.67,48,68,1,1,0,5,0,0,0,2
30,1563161046,6,1.0,40,9,1,3,4,1,0,0,1,1
31,1563162083,2,2.5,67,1,0,1,0,0,1,0,0,1
33,1563165505,3,1.33,93,2,0,1,0,0,0,0,0,0
34,1563165665,2,2.5,60,2,1,2,0,0,1,1,0,1
35,1563245906,5,1.0,57,10,1,1,5,2,1,1,0,2
36,1563246001,2,2.5,70,11,0,1,1,0,0,0,0,0
